FechaEmision;Año;Mes;Tipo de Comprobante;Nro. Doc. Receptor;DenominacionReceptor;IVA 10,5%;Imp. Neto Gravado IVA 10,5%;IVA 21%;Imp. Neto Gravado IVA 21%;IVA 27%;Imp. Neto Gravado IVA 27%;Imp. Neto Gravado Total;Imp. Neto No Gravado;Imp. Op. Exentas;Otros Tributos;Total IVA;Imp. Total;TotalVenta;Anio;Anio_ajuste;Mes_ajuste;IPC_fila;Coef_Deflactor;TotalVenta_Real;TotalVenta_Nominal
2023-01-16;2023;1;1;30657033770;Sin cliente;3689;35141;0;0;0;0;35141;0;0;0;3689;38831;38831;2023;2023;1;1.06;7.779718450816378;302094;38831
2023-01-16;2023;1;1;30657033770;Sin cliente;3018;28752;0;0;0;0;28752;0;0;0;3018;31770;31770;2023;2023;1;1.06;7.779718450816378;247162;31770
2023-01-16;2023;1;1;30657033770;Sin cliente;0;0;8217;39130;0;0;39130;0;0;0;8217;48913;48913;2023;2023;1;1.06;7.779718450816378;380529;48913
2023-01-16;2023;1;1;30657033770;Sin cliente;5325;50714;0;0;0;0;50714;0;0;0;5325;58068;58068;2023;2023;1;1.06;7.779718450816378;451753;58068
2023-01-17;2023;1;1;30657033770;Sin cliente;0;0;78;375;0;0;375;0;0;0;78;492;492;2023;2023;1;1.06;7.779718450816378;3828;492
2023-01-17;2023;1;1;30657033770;Sin cliente;5031;47920;0;0;0;0;47920;0;0;0;5031;52951;52951;2023;2023;1;1.06;7.779718450816378;411944;52951
2023-01-17;2023;1;1;30657033770;Sin cliente;0;0;4338;20661;0;0;20661;0;0;0;4338;25000;25000;2023;2023;1;1.06;7.779718450816378;194493;25000
2023-01-17;2023;1;1;30657033770;Sin cliente;0;0;22470;107000;0;0;107000;0;0;0;22470;136960;136960;2023;2023;1;1.06;7.779718450816378;1065510;136960
2023-01-17;2023;1;1;30657033770;Sin cliente;831;7920;0;0;0;0;7920;0;0;0;831;8752;8752;2023;2023;1;1.06;7.779718450816378;68088;8752
2023-01-18;2023;1;1;30657033770;Sin cliente;0;0;5050;24049;0;0;24049;0;0;0;5050;29100;29100;2023;2023;1;1.06;7.779718450816378;226390;29100
2023-01-18;2023;1;1;30657033770;Sin cliente;0;0;673;3205;0;0;3205;0;0;0;673;4864;4864;2023;2023;1;1.06;7.779718450816378;37841;4864
2023-01-18;2023;1;1;30657033770;Sin cliente;0;0;114024;542975;0;0;542975;0;0;0;114024;657000;657000;2023;2023;1;1.06;7.779718450816378;5111275;657000
2023-01-18;2023;1;1;30657033770;Sin cliente;0;0;77318;368182;0;0;368182;0;0;0;77318;445500;445500;2023;2023;1;1.06;7.779718450816378;3465865;445500
2023-01-18;2023;1;1;30657033770;Sin cliente;0;0;22909;109090;0;0;109090;0;0;0;22909;132000;132000;2023;2023;1;1.06;7.779718450816378;1026923;132000
2023-01-18;2023;1;1;30657033770;Sin cliente;0;0;4587;21843;0;0;21843;0;0;0;4587;27494;27494;2023;2023;1;1.06;7.779718450816378;213896;27494
2023-01-18;2023;1;1;30657033770;Sin cliente;0;0;4409;20998;0;0;20998;0;0;0;4409;28596;28596;2023;2023;1;1.06;7.779718450816378;222469;28596
2023-01-18;2023;1;3;30657033770;Sin cliente;0;0;149;711;0;0;711;47;0;0;149;-908;-908;2023;2023;1;1.06;7.779718450816378;-7064;-908
2023-01-18;2023;1;3;30657033770;Sin cliente;0;0;86;412;0;0;412;27;0;0;86;-526;-526;2023;2023;1;1.06;7.779718450816378;-4092;-526
2023-01-18;2023;1;3;30657033770;Sin cliente;0;0;46;222;0;0;222;14;0;0;46;-283;-283;2023;2023;1;1.06;7.779718450816378;-2202;-283
2023-01-19;2023;1;1;30657033770;Sin cliente;0;0;4799;22852;0;0;22852;0;0;0;4799;27651;27651;2023;2023;1;1.06;7.779718450816378;215117;27651
2023-01-19;2023;1;1;30657033770;Sin cliente;8774;83567;0;0;0;0;83567;0;0;0;8774;92341;92341;2023;2023;1;1.06;7.779718450816378;718387;92341
2023-01-20;2023;1;1;30657033770;Sin cliente;0;0;1047;4985;0;0;4985;0;0;0;1047;7566;7566;2023;2023;1;1.06;7.779718450816378;58861;7566
2023-01-20;2023;1;1;30657033770;Sin cliente;0;0;2328;11089;0;0;11089;0;0;0;2328;14194;14194;2023;2023;1;1.06;7.779718450816378;110425;14194
2023-01-20;2023;1;1;30657033770;Sin cliente;987;9408;0;0;0;0;9408;0;0;0;987;10395;10395;2023;2023;1;1.06;7.779718450816378;80870;10395
2023-01-20;2023;1;1;30657033770;Sin cliente;0;0;5842;27822;0;0;27822;0;0;0;5842;33664;33664;2023;2023;1;1.06;7.779718450816378;261896;33664
2023-01-21;2023;1;1;30657033770;Sin cliente;0;0;3954;18828;0;0;18828;0;0;0;3954;23630;23630;2023;2023;1;1.06;7.779718450816378;183835;23630
2023-01-23;2023;1;1;30657033770;Sin cliente;0;0;1033;4920;0;0;4920;0;0;0;1033;5953;5953;2023;2023;1;1.06;7.779718450816378;46313;5953
2023-01-23;2023;1;1;30657033770;Sin cliente;0;0;1047;4985;0;0;4985;0;0;0;1047;7566;7566;2023;2023;1;1.06;7.779718450816378;58861;7566
2023-01-23;2023;1;1;30657033770;Sin cliente;13724;130712;0;0;0;0;130712;0;0;0;13724;149665;149665;2023;2023;1;1.06;7.779718450816378;1164352;149665
2023-01-24;2023;1;1;30657033770;Sin cliente;0;0;697;3319;0;0;3319;0;0;0;697;4148;4148;2023;2023;1;1.06;7.779718450816378;32270;4148
2023-01-24;2023;1;1;30657033770;Sin cliente;0;0;2267;10799;0;0;10799;0;0;0;2267;14334;14334;2023;2023;1;1.06;7.779718450816378;111514;14334
2023-01-24;2023;1;1;30657033770;Sin cliente;0;0;9091;43290;0;0;43290;0;0;0;9091;54113;54113;2023;2023;1;1.06;7.779718450816378;420984;54113
2023-01-24;2023;1;1;30657033770;Sin cliente;0;0;1648;7851;0;0;7851;0;0;0;1648;9814;9814;2023;2023;1;1.06;7.779718450816378;76350;9814
2023-01-24;2023;1;1;30657033770;Sin cliente;0;0;3389;16142;0;0;16142;0;0;0;3389;19531;19531;2023;2023;1;1.06;7.779718450816378;151946;19531
2023-01-24;2023;1;1;30657033770;Sin cliente;804;7660;1358;6470;0;0;14130;0;0;0;2163;17282;17282;2023;2023;1;1.06;7.779718450816378;134449;17282
2023-01-24;2023;1;1;30657033770;Sin cliente;0;0;159615;760075;0;0;760075;0;0;0;159615;919691;919691;2023;2023;1;1.06;7.779718450816378;7154937;919691
2023-01-24;2023;1;1;30657033770;Sin cliente;0;0;4459;21234;0;0;21234;0;0;0;4459;27418;27418;2023;2023;1;1.06;7.779718450816378;213304;27418
2023-01-24;2023;1;1;30657033770;Sin cliente;0;0;5629;26807;0;0;26807;0;0;0;5629;33240;33240;2023;2023;1;1.06;7.779718450816378;258598;33240
2023-01-25;2023;1;1;30657033770;Sin cliente;3018;28752;0;0;0;0;28752;0;0;0;3018;31770;31770;2023;2023;1;1.06;7.779718450816378;247162;31770
2023-01-25;2023;1;1;30657033770;Sin cliente;0;0;959;4570;0;0;4570;0;0;0;959;5529;5529;2023;2023;1;1.06;7.779718450816378;43014;5529
